Simplified,Chapter,Pinyin,Category,Meaning
一,,yī,Num,one
一下,7,yí xià,AsPt,"(used after a verb to indicate a short, quick, random, informal action)"
一会儿,16,yí huìr,IE,a little while
一共,8,yí gòng,Adv,altogether
一定,17,yí dìng,Adv,must; surely
一样,19,yí yàng,A,the same; alike
一点,11,yì diǎn,Nu-M,a little bit
一点儿,11,yì diǎnr,Nu-M,a little bit
一起,12,yì qǐ,Adv,together
一路平安,24,yí lù píng ān,IE,have a pleasant journey; bon voyage
丁,2,dīng,PN,(a surname)
丁力波,7,dīng lì bō,PN,(name of a Canadian student)
七,,qī,Num,seven
万事如意,20,wàn shì rú yì,IE,may all your wishes come true
丈夫,26,zhàng fu,N,husband
三,,sān,Num,three
上,11,shàng,V,ascend; go to; go up; get on
上,21,shàng,N,upper; up
上,24,shàng,V,"be engaged in (work, study) at a fixed time"
上,9,shàng,Prep,above; last
上午,9,shàng wǔ,N,morning
上海,14,shàng hǎi,PN,Shanghai
上演,22,shàng yǎn,V,stage a show; perform
上课,11,shàng kè,VO,go to class (students and teachers)
上边,21,shàng bian,N,above; over; upward
下,16,xià,V,go down; get off
下,21,xià,N,down; under
下,9,xià,Prep,below; next
下午,9,xià wǔ,N,afternoon
下课,11,xià kè,VO,get out of class; finish class
下边,21,xià bian,N,below; underneath
下雨,24,xià yǔ,VO,to rain
下雪,23,xià xuě,VO,to snow
不,2,bù,Adv,not; no
不但,24,bú dàn,Conj,not only
不同,21,bù tóng,A,different
不好意思,14,bù hǎo yì si,IE,feel embarrassed
不怎么样,22,bù zěn me yàng,IE,not so good
不敢当,19,bù gǎn dāng,IE,I really don't deserve this
不用,5,bú yòng,Adv,need not
不行,16,bù xíng,V,not be allowed; won't do
不见不散,26,bú jiàn bú sàn,IE,don't leave unless we meet
不错,16,bú cuò,A,not bad
专业,7,zhuān yè,N,major; specialty
业余,19,yè yú,N,spare time; amateur
东,21,dōng,N,east
东西,11,dōng xi,N,things; objects
东边,21,dōng bian,N,east side
丝绸,17,sī chóu,N,silk
丢,25,diū,V,lose
两,8,liǎng,Num,two
个,8,gè,M,general-use measure word
中,10,zhōng,A,Center
中午,14,zhōng wǔ,N,noon
中国,3,zhōng guó,PN,China
中国化,26,zhōng guó huà,V,make Chinese in quality or characteristics; sinicize
中国民航,23,zhōng guó mín háng,PN,Civil Aviation Administration of China
中国画,19,zhōng guó huà,N,traditional Chinese Painting
中国通,26,zhōng guó tōng,N,expert of China
中学,14,zhōng xué,N,middle school
中式,17,zhōng shì,A,Chinese style
中文,7,zhōng wén,N,Chinese
中药,12,zhōng yào,N,traditional Chinese medicine
中餐,26,zhōng cān,N,Chinese food (meal)
为,11,wèi,Prep,for
为什么,11,wèishénme,QPr,why
主要,19,zhǔ yào,A,main
主角,22,zhǔ jué,N,leading actor or actress
举办,26,jǔ bàn,V,conduct; hold
乐器,20,yuè qì,N,musical instrument
乐曲,20,yuè qǔ,N,musical composition
乘,18,chéng,V,to ride
乘客,18,chéng kè,N,passenger
九,,jiǔ,Num,nine
也,1,yě,Adv,too; also
习惯,20,xí guàn,V,be accustomed to/habit
书,10,shū,N,book
书店,10,shū diàn,N,bookstore
书房,13,shū fáng,N,study
书法,19,shū fǎ,N,handwriting; calligraphy
买,9,mǎi,V,buy
乱,14,luàn,A,in disorder; in a mess
了,5,le,Pt,(modal partical; aspect particle)
了不起,17,liǎo bu qǐ,IE,amazing; terrific; extraordinary
了解,26,liǎo jiě,V,understand; realize
事儿,13,shìr,N,matter; affair; thing
二,,èr,Num,two
二,5,èr,Num,two
五,,wǔ,Num,five
亚洲学系,15,yà zhōu xué xì,N,Department of Asian Studies
些,18,xiē,M,some
交,16,jiāo,V,hand in; hand over; pay
京剧,6,jīng jù,N,Beijing opera
人,3,rén,N,"people, person"
人员,15,rén yuán,N,personnel; staff
人民,15,rén mín,N,people
人民币,15,rén mín bì,N,Renminbi (RMB)
什么,4,shén me,QPr,what
今天,6,jīn tiān,N,today
今年,9,jīn nián,N,this year
介绍,7,jiè shào,V,to introduce
从,15,cóng,Prep,from
从来,22,cóng lái,Adv,all along; always
他,2,tā,Pr,he; him
他们,2,tā men,Pr,they; them
以为,25,yǐ wéi,V,to think or believe (and be wrong)
以前,22,yǐ qián,N,before; ago; previously; formerly
以后,21,yǐ hòu,Adv,after; afterwards
们,2,men,Suf,"(used after pronouns 我, 你, 他 or certain nouns to denote plural)"
件,13,jiàn,M,piece
价,23,jià,N,vacation; holiday
份,10,fèn,M,publications like newspapers
休息,12,xiū xi,V,take a rest
优美,22,yōu měi,A,graceful; fine; exquisite; elegant
会,11,huì,OpV,"know how to, can"
会,9,huì,N,meeting
伤,25,shāng,V,hurt; wound
但是,22,dàn shì,Conj,but; whereas; yet
位,13,wèi,M,(formal) measure word for people
