也,1,yě3,Adv,too; also
你,1,nǐ3,Pr,You
力波,1,lì4 bō1,PN,(name of a Canadian student)
吗,1,ma5,QPt,(interrogative particle for question expecting yes-no answer)
呢,1,ne5,MdPt,(a modal particle used for elliptical questions)
好,1,hǎo3,A,good; well; fine; O.K.
很,1,hěn3,Adv,very
我,1,wǒ3,Pr,I; me
林娜,1,lín2 nà4,PN,(name of a British student)
陆雨平,1,lù4 yǔ3 píng2,PN,(name of a Chinese reporter)
丁,2,dīng1,PN,(a surname)
不,2,bù4,Adv,not; no
他,2,tā1,Pr,he; him
他们,2,tā1 men5,Pr,they; them
们,2,men5,Suf,"(used after pronouns 我, 你, 他 or certain nouns to denote plural)"
咖啡,2,kā1 fēi1,N,coffee
哥哥,2,gē1 ge5,N,elder brother
喝,2,hē1,V,to drink
妈妈,2,mā1 ma5,N,mom
弟弟,2,dì4 di5,N,younger brother
忙,2,máng2,A,busy
我们,2,wǒ3 men5,Pr,we; us
朋友,2,péng2 you5,N,friend
爸爸,2,bà4 ba5,N,dad
男,2,nán2,A,male
要,2,yào4,V,to want
都,2,dōu1,Adv,both; all
中国,3,zhōng1 guó2,PN,China
人,3,rén2,N,"people, person"
医生,3,yī1 shēng1,N,doctor; physician
哪,3,nǎ3,QPr,which
国,3,guó2,N,"country, nation"
奶奶,3,nǎi3 nai5,N,grandmother on the father's side
她,3,tā1,Pr,she; her
您,3,nín2,Pr,you  (polite form)
是,3,shì4,V,to be
老师,3,lǎo3 shī1,N,teacher
谁,3,shéi2,QPr,who; whom
这,3,zhè4,Pr,this
那,3,nà4,Pr,that
陈,3,chén2,PN,(a surname)
什么,4,shén2 me5,QPr,what
加拿大,4,jiā1 ná2 dà4,PN,Canada
叫,4,jiào4,V,to be called
可以,4,kě3 yǐ3,OpV,may
姓,4,xìng4,V,one's surname is.../surname
学习,4,xué2 xí2,V,to learn; to study
学院,4,xué2 yuàn4,N,institute; college
来,4,lái2,V,to come
杨,4,yáng2,PN,(a surname)
汉语,4,hàn4 yǔ3,N,Chinese (language)
的,4,de5,Pt,(a possessive or modifying particle)
美国,4,měi3 guó2,PN,the United States; America
英国,4,yīng1 guó2,PN,Great Britain; England
认识,4,rèn4 shi5,V,to know (somebody)
记者,4,jì4 zhě3,N,reporter
语言,4,yǔ3 yán2,N,language
请,4,qǐng3,V,please
请问,4,qǐng3 wèn4,V,May I ask...?
贵姓,4,guì4 xìng4,IE,What's your honorable surname?
进,4,jìn4,V,to enter
进来,4,jìn4 lai5,VC,to come in
高兴,4,gāo1 xìng4,A,happy; pleased
不用,5,bú2 yòng4,Adv,need not
了,5,le5,Pt,(modal partical; aspect particle)
二,5,èr4,Num,two
再,5,zài4,Adv,again
再见,5,zài4 jiàn4,IE,good-bye
号,5,hào4,N,number
哪儿,5,nǎr3,QPr,where
四,5,sì4,Num,four
在,5,zài4,V,"to be (here, there); to be (in, on at)"
坐,5,zuò4,V,to sit
女,5,nǚ3,A,female
学生,5,xué2 sheng5,N,student
宋华,5,sòng4 huá2,PN,(name of a Chinese student)
宿舍,5,sù4 shè4,N,dormitory
对不起,5,duì4 bu5 qǐ3,IE,I'm sorry
小姐,5,xiǎo3 jie5,N,Miss; young lady
层,5,céng2,M,story; floor
没关系,5,méi2 guān1 xi5,IE,never mind; it doesn't matter
王小云,5,wáng2 xiǎo3 yún2,PN,(name of a Chinese student)
知道,5,zhī1 dào4,V,to know
谢谢,5,xiè4 xie5,V,to thank
这儿,5,zhèr4,Pr,here
零,5,líng2,Num,zero
餐厅,5,cān1 tīng1,N,dining room
