Simplified,Chapter,Pinyin,Category,Meaning
一会儿,16,yí1 huìr1,IE,a little while
下,16,xià1,V,go down; get off
不行,16,bù1 xíng1,V,not be allowed; won't do
不错,16,bú1 cuò1,A,not bad
交,16,jiāo1,V,hand in; hand over; pay
借,16,jiè1,V,borrow; lend
借书证,16,jiè1 shū1 zhèng1,N,library card
先,16,xiān1,Adv,first; before
办公,16,bàn1 gōng1,VO,handle official business; work (in an office)
办公室,16,bàn1 gōng1 shì1,N,office
国籍,16,guó1 jí1,N,nationality
图书,16,tú1 shū1,N,books
图书馆,16,tú1 shū1 guǎn1,N,library
填,16,tián1,V,fill in; write
姓名,16,xìng1 míng1,N,full name
实用,16,shí1 yòng1,A,practical
室,16,shì1,N,room
带,16,dài1,V,bring
年龄,16,nián1 líng1,N,age
广东,16,guǎng1 dōng1,PN,Guangdong Province
开始,16,kāi1 shǐ1,V,start; begin
忘,16,wàng1,V,forget
性别,16,xìng1 bié1,N,sex; gender
慢,16,màn1,A,slow; slowly
房间,16,fáng1 jiān1,N,room
把,16,bǎ1,Prep,(denoting the disposal of something)
拿,16,ná1,V,take; hold; get
新实用汉语课本,16,xīn1 shí1 yòng1 hàn1 yǔ1 kè1 běn1,PN,New Practical Chinese Reader
期,16,qī1,N,period of time
杂志,16,zá1 zhì1,N,magazine
查,16,chá1,V,check; look up
款,16,kuǎn1,N,sum of money
热闹,16,rè1 nao1,A,lively; bustling with noise and excitement
生活,16,shēng1 huó1,V,live/life
电,16,diàn1,N,electricity
目录,16,mù1 lù1,N,catalogue; list
续借,16,xù1 jiè1,V,renew
罚,16,fá1,V,punish; penalize
罚款,16,fá1 kuǎn1,VO,impose a fine or forfeit/fine
翻译,16,fān1 yì1,V,translate; interpret
老人,16,lǎo1 rén1,N,the elderly; the aged; old man or woman
考,16,kǎo1,V,give or take an exam; to test
考试,16,kǎo1 shì1,V,give or take an exam/exam
职业,16,zhí1 yè1,N,occupation; profession
脑,16,nǎo1,N,brain
自己,16,zì1 jǐ1,Pr,oneself
茶楼,16,chá1 lóu1,N,tearooms; tea house
表,16,biǎo1,N,form; table; list
证,16,zhèng1,N,certificate; card
课本,16,kè1 běn1,N,textbook
过,16,guò1,V,pass
过期,16,guò1 qī1,VO,be overdue
还,16,huán1,V,give back; return
钥匙,16,yào1 shi1,N,key
长,16,cháng1,A,long
问答,16,wèn1 dá1,N,questions and answers
阅览室,16,yuè1 lǎn1 shì1,N,reading room
预定,16,yù1 dìng1,V,to reserve; to book
馆,16,guǎn1,N,shop; place for cultural activities
一定,17,yí1 dìng1,Adv,must; surely
丝绸,17,sī1 chóu1,N,silk
中式,17,zhōng1 shì1,A,Chinese style
了不起,17,liǎo1 bu1 qǐ1,IE,amazing; terrific; extraordinary
公分,17,gōng1 fēn1,N,centimeter
公园,17,gōng1 yuán1,N,park
双,17,shuāng1,M,pair
合适,17,hé1 shì1,A,suitable; appropriate; right
售,17,shòu1,V,sell
售货员,17,shòu1 huò1 yuán1,N,shop assistant; salesclerk
商店,17,shāng1 diàn1,N,shop; store
太极拳,17,tài1 jí1 quán1,N,Taiji Boxing
头发,17,tóu1 fa1,N,hair
套,17,tào1,M,set; suit; suite
小时,17,xiǎo1 shí1,N,hour
差,17,chà1,A,not up to standard; poor; bad
已经,17,yǐ1 jīng1,Adv,already
布,17,bù1,N,cloth; fabric
帅,17,shuài1,A,handsome; smart
店,17,diàn1,N,shop; store
式,17,shì1,N,type; style
总是,17,zǒng1 shì1,Adv,always
打折,17,dǎ1 zhé1,VO,sell at a discount; give a disount
料子,17,liào1 zi1,N,material for making clothing
旗袍,17,qí1 páo1,N,cheongsam; long formal dress with a slit skirt
极了,17,jí(le)1,Adv,extremely
样子,17,yàng1 zi1,N,shape; sample; model; pattern
比,17,bǐ1,Prep,than (indicating comparison)
白,17,bái1,A,white
相声,17,xiàng1 shēng1,N,comic dialogue; repartee
短,17,duǎn1,A,short
绿,17,lǜ1,A,green
薄,17,báo1,A,thin
衬衫,17,chèn1 shān1,N,shirt
裤子,17,kù1 zi1,N,trousers; pants
西服,17,xī1 fú1,N,western-style clothes; suit
觉得,17,jué1 de1,V,feel; think
试,17,shì1,V,try on; have a try
货,17,huò1,N,goods
走,17,zǒu1,V,walk; go
过去,17,guò1 qù1,V,to pass
鞋子,17,xié1 zi1,N,shoes
页,17,yè1,M,page
颜色,17,yán1 sè1,N,color
麻烦,17,má1 fan1,V,bother someone; trouble someone
黑,17,hēi1,A,black
乘,18,chéng1,V,to ride
乘客,18,chéng1 kè1,N,passenger
些,18,xiē1,M,some
信封,18,xìn1 fēng1,N,envelope
像,18,xiàng1,V,to seem; to look as if; to appear; to be alike; to take after
公共,18,gōng1 gòng1,A,public; common; communal
公共汽车,18,gōng1 gòng1 qìchē1,N,bus
公斤,18,gōng1 jīn1,M,kilogram
准备,18,zhǔn1 bèi1,N,preparation/prepare; get ready
别,18,bié1,Adv,don't
前门,18,qián1 mén1,PN,Qianmen (place in Beijing)
包,18,bāo1,V,wrap
包裹,18,bāo1 guǒ1,N,parcel; package
单,18,dān1,N,"sheet, paper"
取,18,qǔ1,V,take; get; fetch
咱们,18,zán1 men1,Pr,we; us
地铁,18,dì1 tiě1,N,underground railway; subway
大家,18,dà1 jiā1,Pr,all; everybody
好像,18,hǎo1 xiàng1,V,to seem; to be like
孙子,18,sūn1 zi1,N,grandson
客,18,kè1,N,visitor; guest
客气,18,kè1 qi1,A,polite; curteous
封,18,fēng1,M,(measure word for letter)
建国门,18,jiàn1 guó1 mén1,PN,Jianguo Men (place in Beijing)
往,18,wǎng1,Prep,to; toward
护照,18,hù1 zhào1,N,passport
收票员,18,shòu1 piào1 yuán1,N,ticket seller; conductor
放心,18,fàng1 xīn1,VO,set one's mind at rest; be at ease; feel relieved
旧,18,jiù1,A,old; past; used
汽车,18,qì1 chē1,N,automobile; motor vehicle; car
海,18,hǎi1,N,sea; big lake
海关,18,hǎi1 guān1,N,customhouse; customs
海运,18,hǎi1 yùn1,N,sea transporation; ocean shipping; ocean freight
然后,18,rán1 hòu1,Adv,then
票,18,piào1,N,ticket
空,18,kōng1,N,sky; air
站,18,zhàn1,N,station; stop
糟糕,18,zāo1 gāo1,A,in a wretched state; in a mess; too bad
纪念,18,jì1 niàn1,N,commemorate
经过,18,jīng1 guò1,V,to pass; to go through
航空,18,háng1 kōng1,N,aviation
记,18,jì1,V,remember; bear in mind
贴,18,tiē1,V,to stick; to paste
费,18,fèi1,N,fee; expenses; charge
路,18,lù1,N,route
通知,18,tōng1 zhī1,V,notify; inform/notification
通知单,18,tōng1 zhī1 dān1,N,advice note; letter of notice
邮票,18,yóu1 piào1,N,stamp
邮费,18,yóu1 fèi1,N,postage
里边,18,lǐ1 bian1,N,in; inside; within
错,18,cuò1,A,wrong; erroneous
门,18,mén1,N,door; gate; entrance
一样,19,yí1 yàng1,A,the same; alike
不敢当,19,bù1 gǎn1 dāng1,IE,I really don't deserve this
业余,19,yè1 yú1,N,spare time; amateur
中国画,19,zhōng1 guó1 huà1,N,traditional Chinese Painting
